subset,weighted_share,system,n,accuracy_vs_human,ci_low,ci_high
sava_judges,0.7866649865966998,GPT-4o reference label,104,0.884868220656552,0.8363181972092787,0.9317493082700163
sava_judges,0.7866649865966998,SAVA,104,0.8455164704698949,0.7966150921102404,0.8953210292998829
sava_judges,0.7866649865966998,Numeric regex,104,0.8455164704698949,0.7966150921102405,0.8931052796742601
sava_judges,0.7866649865966998,LLM judge (binary),104,0.8302325317813268,0.7777297655697688,0.8744784575519347
sava_judges,0.7866649865966998,LLM judge (three-way),104,0.8527192461737026,0.8017941414401868,0.9046071412885942
sava_judges,0.7866649865966998,"judge (binary) minus SAVA, paired",104,-0.015283938688567802,-0.07009530501998332,0.03495981378189643
sava_declines,0.21333501340330013,GPT-4o reference label,31,0.9514146899114032,0.8785367247785082,1.0
sava_declines,0.21333501340330013,Numeric regex,28,0.3849529780564262,0.21065830721003137,0.5786833855799374
sava_declines,0.21333501340330013,LLM judge (binary),31,0.684195484424121,0.6356101743355245,0.7570734495570163
sava_declines,0.21333501340330013,LLM judge (three-way),31,0.6687625035724492,0.5561589025435839,0.7659331237496427
sava_declines,0.21333501340330013,majority class (correct),31,0.7682194912832238,,
