split,subset,method,n,coverage,agreement_when_judging,agreeing_verdicts_share,incorrect_rate,incorrect_verdict_precision,correct_verdict_precision
val,all,sava_no_conclusion_cue,1755,0.701994301994302,0.7548701298701299,0.5299145299145299,0.5595441595441596,0.7118126272912424,0.924
val,all,sava,1755,0.7618233618233619,0.743455497382199,0.5663817663817664,0.6108262108262108,0.6996268656716418,0.920754716981132
val,all,numeric_regex,1755,0.9623931623931624,0.69449378330373,0.6683760683760683,0.7743589743589744,0.6394407652685798,0.9212121212121211
val,final,sava_no_conclusion_cue,415,0.7783132530120482,0.8823529411764706,0.6867469879518072,0.2867469879518072,0.7226890756302521,0.9754901960784312
val,final,sava,415,0.8168674698795181,0.8820058997050148,0.7204819277108434,0.2987951807228916,0.717741935483871,0.9767441860465116
val,final,numeric_regex,415,0.963855421686747,0.8775,0.8457831325301205,0.3421686746987952,0.6901408450704225,0.9806201550387597
val,non_final,sava_no_conclusion_cue,1340,0.6783582089552239,0.7095709570957096,0.4813432835820895,0.6440298507462686,0.7103128621089224,0.6956521739130435
val,non_final,sava,1340,0.744776119402985,0.6963927855711423,0.5186567164179104,0.7074626865671642,0.6972573839662447,0.68
val,non_final,numeric_regex,1340,0.9619402985074628,0.6377036462373933,0.6134328358208955,0.9082089552238806,0.6335250616269515,0.7083333333333334
test,all,sava_no_conclusion_cue,1985,0.7193954659949622,0.7591036414565826,0.546095717884131,0.5516372795969773,0.7287671232876712,0.8588588588588588
test,all,sava,1985,0.784382871536524,0.7443802183686576,0.5838790931989924,0.6055415617128463,0.7096505823627288,0.8619718309859155
test,all,numeric_regex,1985,0.9773299748110832,0.6917525773195876,0.6760705289672544,0.7627204030226701,0.6413474240422721,0.8708920187793427
test,final,sava_no_conclusion_cue,515,0.7708737864077669,0.8463476070528967,0.6524271844660194,0.2796116504854369,0.6944444444444444,0.932806324110672
test,final,sava,515,0.8194174757281554,0.8459715639810427,0.6932038834951456,0.2951456310679611,0.6973684210526315,0.9296296296296296
test,final,numeric_regex,515,0.9864077669902912,0.8326771653543307,0.8213592233009709,0.3533980582524272,0.6428571428571429,0.9386503067484664
test,non_final,sava_no_conclusion_cue,1470,0.7013605442176871,0.7255092143549952,0.508843537414966,0.6469387755102041,0.7339642481598317,0.625
test,non_final,sava,1470,0.7721088435374149,0.7066079295154185,0.545578231292517,0.7142857142857143,0.7114285714285714,0.6470588235294118
test,non_final,numeric_regex,1470,0.9741496598639456,0.6417597765363129,0.6251700680272109,0.9061224489795918,0.6411411411411412,0.65
