dataset,model,seed,variant,n,auc,ci_low,ci_high,delta_vs_mean_raw,delta_ci_low,delta_ci_high,params_fit_on
mathdial,zero_shot,seed-na,mean_raw,1985,0.5169413621093352,0.4831834793871856,0.5486997673462105,0.0,0.0,0.0,mathdial
mathdial,zero_shot,seed-na,mean_platt,1985,0.4863188435304897,0.4548691624855939,0.5209720568724794,-0.0306225185788454,-0.0934386704544045,0.0382445220964518,mathdial
mathdial,zero_shot,seed-na,noisy_and_platt,1985,0.4634042553191489,0.4339192884388443,0.4928828354539787,-0.0535371067901861,-0.1028668034132445,0.0002849900444907,mathdial
mathdial,zero_shot,seed-na,ccmf_no_update,1985,0.5347327700295226,0.5053034243116926,0.5654827439033331,0.0177914079201874,-0.0269518850903566,0.0655172757730088,mathdial
mathdial,zero_shot,seed-na,ccmf_model_update,1985,0.5448971800875496,0.5144527201015991,0.5756978241921225,0.0279558179782144,-0.0188982425103416,0.0781185577988763,mathdial
mathdial,zero_shot,seed-na,ccmf_gold_update,1985,0.6073236282194849,0.5818886236067388,0.6343676954448397,0.0903822661101497,0.0531225351405406,0.13334767688395,mathdial
mathdial,zero_shot,seed-na,ccmf_sava_update,1985,0.5488806881808002,0.5213754198596451,0.575795271163722,0.03193932607146499,-0.013489882612750975,0.07930220075475108,mathdial
mathdial,qlora,seed221,mean_raw,1985,0.7453415453527434,0.7219641455999233,0.7687610206560572,0.0,0.0,0.0,mathdial
mathdial,qlora,seed221,mean_platt,1985,0.745318130917235,0.7219713338060999,0.7687612402644517,-2.341443550846201e-05,-6.887865009608252e-05,2.2596894562643123e-05,mathdial
mathdial,qlora,seed221,noisy_and_platt,1985,0.69595337473277,0.6716825755836939,0.7213488065506449,-0.0493881706199734,-0.0632739220019048,-0.0354255335519407,mathdial
mathdial,qlora,seed221,ccmf_no_update,1985,0.7214980148630764,0.6982315898211716,0.7458992816562047,-0.023843530489667,-0.0319051456654427,-0.0160316886303503,mathdial
mathdial,qlora,seed221,ccmf_model_update,1985,0.7238572737452917,0.7007507650188344,0.7483862412364406,-0.0214842716074517,-0.0287884508707605,-0.0144062097941812,mathdial
mathdial,qlora,seed221,ccmf_gold_update,1985,0.7238582917642268,0.7007522734632986,0.748386880476996,-0.0214832535885166,-0.0287905706791001,-0.0144061130240902,mathdial
mathdial,qlora,seed221,ccmf_sava_update,1985,0.7238582917642268,0.7007522734632986,0.748386880476996,-0.02148325358851666,-0.028790570679100187,-0.01440611302409025,mathdial
comta,zero_shot,seed-na,mean_raw,78,0.6371127224785761,0.4770195578231293,0.7700055512016719,0.0,0.0,0.0,mathdial
comta,zero_shot,seed-na,mean_platt,78,0.3635464733025708,0.2266766080343666,0.525464349376114,-0.2735662491760052,-0.543998715604319,0.0465126481083926,mathdial
comta,zero_shot,seed-na,noisy_and_platt,78,0.3602504943968359,0.2585258620689655,0.5583320226486316,-0.2768622280817402,-0.4527936160795647,0.0020244972186564,mathdial
comta,zero_shot,seed-na,ccmf_no_update,78,0.4713249835201055,0.3099974892395983,0.683135025939274,-0.1657877389584706,-0.3289995458855899,0.0772672608941709,mathdial
comta,zero_shot,seed-na,ccmf_model_update,78,0.4667106130520764,0.3212917090108401,0.6409710593337146,-0.1704021094264996,-0.3313172043010753,0.0333552631578947,mathdial
comta,zero_shot,seed-na,ccmf_gold_update,78,0.6634805537244561,0.5369771241830066,0.728612012987013,0.02636783124588,-0.1415383825944171,0.1660483727389261,mathdial
