dialogue,turn_id,gold,gold_secondary
28,2,procedural,careless
74,2,procedural,
110,3,procedural,
110,4,other,
110,5,procedural,conceptual
79,2,procedural,conceptual
135,2,procedural,
149,1,other,
15,2,other,
15,3,other,
15,4,other,
15,5,other,
15,6,other,
15,7,careless,procedural
152,2,other,
152,3,conceptual,
152,4,other,
152,5,other,
152,6,other,
152,7,calculation,
152,8,other,
152,9,other,
152,13,other,
152,15,procedural,
27,2,procedural,
54,2,calculation,
65,1,conceptual,
49,1,conceptual,
26,2,other,
26,3,procedural,careless
116,2,procedural,
116,3,procedural,
116,4,other,
116,6,procedural,
107,5,procedural,
103,2,other,
117,1,conceptual,
117,2,other,
117,3,other,
137,2,procedural,
137,6,procedural,
137,7,procedural,conceptual
137,8,conceptual,
137,9,conceptual,
137,16,calculation,
114,1,conceptual,
