n_kcs,turns,tau,gain,decay,readiness,noise,graph,prior,policy,fraction_mastered
12,120,0.8,0.185,0.0,1.0,0.0,chains,uniform,greedy_lowest_first,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,uniform,random_unmastered,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,uniform,fixed_curriculum_no_skip,0.9995833333333333
12,120,0.8,0.185,0.0,1.0,0.0,chains,uniform,prereq_lowest_first_previous,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,uniform,filtered_curriculum_index_order,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,uniform,filtered_curriculum_random_topo,1.0
12,120,0.8,0.185,0.0,1.0,0.0,chains,uniform,mta,1.0
12,120,0.8,0.185,0.0,1.0,0.05,chains,uniform,greedy_lowest_first,0.98875
12,120,0.8,0.185,0.0,1.0,0.05,chains,uniform,random_unmastered,0.9804166666666666
12,120,0.8,0.185,0.0,1.0,0.05,chains,uniform,fixed_curriculum_no_skip,0.94125
12,120,0.8,0.185,0.0,1.0,0.05,chains,uniform,prereq_lowest_first_previous,0.9870833333333334
12,120,0.8,0.185,0.0,1.0,0.05,chains,uniform,filtered_curriculum_index_order,0.9354166666666666
12,120,0.8,0.185,0.0,1.0,0.05,chains,uniform,filtered_curriculum_random_topo,0.93875
12,120,0.8,0.185,0.0,1.0,0.05,chains,uniform,mta,0.9429166666666666
12,120,0.8,0.185,0.0,1.0,0.1,chains,uniform,greedy_lowest_first,0.9925
12,120,0.8,0.185,0.0,1.0,0.1,chains,uniform,random_unmastered,0.97875
12,120,0.8,0.185,0.0,1.0,0.1,chains,uniform,fixed_curriculum_no_skip,0.9725
12,120,0.8,0.185,0.0,1.0,0.1,chains,uniform,prereq_lowest_first_previous,0.985
12,120,0.8,0.185,0.0,1.0,0.1,chains,uniform,filtered_curriculum_index_order,0.72
12,120,0.8,0.185,0.0,1.0,0.1,chains,uniform,filtered_curriculum_random_topo,0.7179166666666668
12,120,0.8,0.185,0.0,1.0,0.1,chains,uniform,mta,0.7416666666666666
12,120,0.8,0.185,0.0,0.8,0.0,chains,uniform,greedy_lowest_first,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,uniform,random_unmastered,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,uniform,fixed_curriculum_no_skip,0.92
12,120,0.8,0.185,0.0,0.8,0.0,chains,uniform,prereq_lowest_first_previous,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,uniform,filtered_curriculum_index_order,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,uniform,filtered_curriculum_random_topo,1.0
12,120,0.8,0.185,0.0,0.8,0.0,chains,uniform,mta,1.0
12,120,0.8,0.185,0.0,0.8,0.05,chains,uniform,greedy_lowest_first,0.9891666666666665
12,120,0.8,0.185,0.0,0.8,0.05,chains,uniform,random_unmastered,0.9683333333333333
12,120,0.8,0.185,0.0,0.8,0.05,chains,uniform,fixed_curriculum_no_skip,0.8979166666666667
12,120,0.8,0.185,0.0,0.8,0.05,chains,uniform,prereq_lowest_first_previous,0.9870833333333333
12,120,0.8,0.185,0.0,0.8,0.05,chains,uniform,filtered_curriculum_index_order,0.9341666666666666
12,120,0.8,0.185,0.0,0.8,0.05,chains,uniform,filtered_curriculum_random_topo,0.93625
12,120,0.8,0.185,0.0,0.8,0.05,chains,uniform,mta,0.9404166666666666
12,120,0.8,0.185,0.0,0.8,0.1,chains,uniform,greedy_lowest_first,0.9804166666666666
12,120,0.8,0.185,0.0,0.8,0.1,chains,uniform,random_unmastered,0.9483333333333333
12,120,0.8,0.185,0.0,0.8,0.1,chains,uniform,fixed_curriculum_no_skip,0.9079166666666666
12,120,0.8,0.185,0.0,0.8,0.1,chains,uniform,prereq_lowest_first_previous,0.9808333333333334
12,120,0.8,0.185,0.0,0.8,0.1,chains,uniform,filtered_curriculum_index_order,0.7116666666666666
12,120,0.8,0.185,0.0,0.8,0.1,chains,uniform,filtered_curriculum_random_topo,0.7145833333333335
12,120,0.8,0.185,0.0,0.8,0.1,chains,uniform,mta,0.7375
12,120,0.8,0.185,0.0,0.6,0.0,chains,uniform,greedy_lowest_first,0.4591666666666667
12,120,0.8,0.185,0.0,0.6,0.0,chains,uniform,random_unmastered,0.96125
12,120,0.8,0.185,0.0,0.6,0.0,chains,uniform,fixed_curriculum_no_skip,0.65125
12,120,0.8,0.185,0.0,0.6,0.0,chains,uniform,prereq_lowest_first_previous,1.0
12,120,0.8,0.185,0.0,0.6,0.0,chains,uniform,filtered_curriculum_index_order,1.0
12,120,0.8,0.185,0.0,0.6,0.0,chains,uniform,filtered_curriculum_random_topo,1.0
12,120,0.8,0.185,0.0,0.6,0.0,chains,uniform,mta,1.0
12,120,0.8,0.185,0.0,0.6,0.05,chains,uniform,greedy_lowest_first,0.5179166666666667
12,120,0.8,0.185,0.0,0.6,0.05,chains,uniform,random_unmastered,0.7533333333333333
12,120,0.8,0.185,0.0,0.6,0.05,chains,uniform,fixed_curriculum_no_skip,0.6508333333333333
