noise_level,noise,graph,prior,decay,readiness,policy,fraction_mastered
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,1.0,greedy_lowest_first,0.9891666666666667
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,1.0,random_unmastered,0.9770833333333333
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,1.0,fixed_curriculum_no_skip,0.9508333333333334
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,1.0,prereq_lowest_first_previous,0.9891666666666665
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,1.0,filtered_curriculum_index_order,0.88875
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,1.0,filtered_curriculum_random_topo,0.8925
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,1.0,mta,0.895
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.8,greedy_lowest_first,0.9875
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.8,random_unmastered,0.9625
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.8,fixed_curriculum_no_skip,0.8991666666666666
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.8,prereq_lowest_first_previous,0.985
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.8,filtered_curriculum_index_order,0.8816666666666666
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.8,filtered_curriculum_random_topo,0.8866666666666666
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.8,mta,0.8904166666666665
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.6,greedy_lowest_first,0.5195833333333333
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.6,random_unmastered,0.735
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.6,fixed_curriculum_no_skip,0.65125
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.6,prereq_lowest_first_previous,0.9654166666666666
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.6,filtered_curriculum_index_order,0.87125
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.6,filtered_curriculum_random_topo,0.8833333333333333
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.0,0.6,mta,0.88375
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.002,1.0,greedy_lowest_first,0.8483333333333333
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.002,1.0,random_unmastered,0.7620833333333334
