observation_model,policy,n_learners,fraction_mastered,ci_low,ci_high,mta_minus_policy,wilcoxon_p_vs_mta
oracle (true mastery),greedy_lowest_first,500,0.0,0.0,0.0,0.6133333333333333,3.53098794083882e-85
oracle (true mastery),random_unmastered,500,0.117,0.1089958333333333,0.1253375,0.4963333333333332,3.7691790477250855e-84
oracle (true mastery),fixed_curriculum_no_skip,500,0.0868333333333333,0.0793333333333333,0.0945041666666666,0.5265,2.2444679478336585e-84
oracle (true mastery),prereq_lowest_first_previous,500,0.2326666666666667,0.2221666666666666,0.2423333333333333,0.3806666666666667,3.828320643261106e-83
oracle (true mastery),filtered_curriculum_index_order,500,0.6121666666666667,0.6041666666666667,0.6198375,0.0011666666666666,0.7508563103542206
oracle (true mastery),filtered_curriculum_random_topo,500,0.612,0.6038291666666665,0.6196666666666667,0.0013333333333333,0.9441085747758144
oracle (true mastery),mta,500,0.6133333333333333,0.6054958333333333,0.6221666666666666,0.0,
iid sigma=0.05 (paper grid),greedy_lowest_first,500,0.003,0.0016666666666666,0.0046666666666666,0.5626666666666668,5.178591638511914e-88
iid sigma=0.05 (paper grid),random_unmastered,500,0.0978333333333333,0.09,0.1051666666666666,0.4678333333333334,5.154270913172961e-85
iid sigma=0.05 (paper grid),fixed_curriculum_no_skip,500,0.0868333333333333,0.0793333333333333,0.0945041666666666,0.4788333333333333,3.396637670840153e-85
iid sigma=0.05 (paper grid),prereq_lowest_first_previous,500,0.1486666666666666,0.1409958333333333,0.1566666666666666,0.417,2.8434777298147183e-84
iid sigma=0.05 (paper grid),filtered_curriculum_index_order,500,0.5443333333333332,0.5395,0.5493375,0.0213333333333333,2.0356877286935606e-10
iid sigma=0.05 (paper grid),filtered_curriculum_random_topo,500,0.5496666666666666,0.5449958333333333,0.5543375,0.0159999999999999,5.878306953225334e-07
iid sigma=0.05 (paper grid),mta,500,0.5656666666666667,0.5603333333333333,0.5703333333333332,0.0,
iid sigma=0.061 (CCMF-calibrated),greedy_lowest_first,500,0.0041666666666666,0.0025,0.006,0.5406666666666666,4.331447188575614e-88
iid sigma=0.061 (CCMF-calibrated),random_unmastered,500,0.0915,0.084325,0.0985041666666666,0.4533333333333333,5.330186953201149e-85
iid sigma=0.061 (CCMF-calibrated),fixed_curriculum_no_skip,500,0.0868333333333333,0.0793333333333333,0.0945041666666666,0.458,2.1899767880935638e-85
iid sigma=0.061 (CCMF-calibrated),prereq_lowest_first_previous,500,0.147,0.1398333333333333,0.1551708333333333,0.3978333333333333,2.085249750968265e-84
iid sigma=0.061 (CCMF-calibrated),filtered_curriculum_index_order,500,0.5236666666666666,0.519,0.5286666666666667,0.0211666666666666,1.3740882770483134e-11
iid sigma=0.061 (CCMF-calibrated),filtered_curriculum_random_topo,500,0.5235,0.5186666666666666,0.5276708333333334,0.0213333333333333,1.764952115230096e-12
iid sigma=0.061 (CCMF-calibrated),mta,500,0.5448333333333334,0.5403333333333332,0.5488333333333333,0.0,
iid sigma=0.10 (paper grid),greedy_lowest_first,500,0.0138333333333333,0.0113333333333333,0.0168374999999999,0.4808333333333334,3.7410090142655414e-90
iid sigma=0.10 (paper grid),random_unmastered,500,0.0931666666666666,0.0861624999999999,0.1001666666666666,0.4015,3.2115459829967285e-85
